crime,cod_ibge,municipio,taxa_por_1000,moran_local_Ii,p_valor,cluster,litoranea_turistica
Roubo (art. 157),3515103,Embu-Guaçu,3.24,10.0241,0.002,Alto-Alto,0
Roubo (art. 157),3515129,Emilianópolis,0,0.2964,0.01,Baixo-Baixo,0
Roubo (art. 157),3515152,Engenheiro Coelho,0.664,-0.0134,0.25,Não significativo,0
Roubo (art. 157),3515186,Espírito Santo do Pinhal,0.477,-0.0098,0.656,Não significativo,0
Roubo (art. 157),3515194,Espírito Santo do Turvo,0.722,-0.0092,0.246,Não significativo,0
Roubo (art. 157),3515202,Estrela d'Oeste,0.106,0.2026,0.04,Baixo-Baixo,0
Roubo (art. 157),3515301,Estrela do Norte,0,0.2087,0.392,Não significativo,0
Roubo (art. 157),3515350,Euclides da Cunha Paulista,0,0.2279,0.44,Não significativo,0
Roubo (art. 157),3515400,Fartura,0.24,0.1599,0.038,Baixo-Baixo,0
Roubo (art. 157),3515509,Fernandópolis,0.239,0.1571,0.062,Não significativo,0
Roubo (art. 157),3515608,Fernando Prestes,0.168,0.1418,0.348,Não significativo,0
Roubo (art. 157),3515657,Fernão,1.208,-0.1566,0.418,Não significativo,0
Roubo (art. 157),3515707,Ferraz de Vasconcelos,5.681,18.8956,0.002,Alto-Alto,0
Roubo (art. 157),3515806,Flora Rica,0,0.275,0.006,Baixo-Baixo,0
Roubo (art. 157),3515905,Floreal,0,0.2409,0.126,Não significativo,0
Roubo (art. 157),3516002,Flórida Paulista,0,0.2566,0.03,Baixo-Baixo,0
Roubo (art. 157),3516101,Florínea,0,0.2865,0.03,Baixo-Baixo,0
Roubo (art. 157),3516200,Franca,0.706,-0.002,0.666,Não significativo,0
Roubo (art. 157),3516309,Francisco Morato,3.924,3.178,0.086,Não significativo,0
Roubo (art. 157),3516408,Franco da Rocha,3.217,2.6921,0.034,Alto-Alto,0
Roubo (art. 157),3516507,Gabriel Monteiro,0.362,0.1089,0.15,Não significativo,0
Roubo (art. 157),3516606,Gália,0.47,0.0594,0.246,Não significativo,0
Roubo (art. 157),3516705,Garça,0.214,0.1675,0.054,Não significativo,0
Roubo (art. 157),3516804,Gastão Vidigal,0,0.2853,0.004,Baixo-Baixo,0
Roubo (art. 157),3516853,Gavião Peixoto,0.425,0.0591,0.742,Não significativo,0
Roubo (art. 157),3516903,General Salgado,0.194,0.188,0.034,Baixo-Baixo,0
Roubo (art. 157),3517000,Getulina,0.293,0.1065,0.232,Não significativo,0
Roubo (art. 157),3517109,Glicério,0,0.2452,0.106,Não significativo,0
Roubo (art. 157),3517208,Guaiçara,0.178,0.1318,0.51,Não significativo,0
Roubo (art. 157),3517307,Guaimbê,0.181,0.1318,0.434,Não significativo,0
Roubo (art. 157),3517406,Guaíra,0.356,-0.0149,0.584,Não significativo,0
Roubo (art. 157),3517505,Guapiaçu,0.23,0.1109,0.504,Não significativo,0
Roubo (art. 157),3517604,Guapiara,0.351,0.077,0.498,Não significativo,0
Roubo (art. 157),3517703,Guará,0.537,0.0088,0.754,Não significativo,0
Roubo (art. 157),3517802,Guaraçaí,0,0.2328,0.07,Não significativo,0
Roubo (art. 157),3517901,Guaraci,0.097,0.1407,0.6,Não significativo,0
Roubo (art. 157),3518008,Guarani d'Oeste,0.508,0.0736,0.014,Baixo-Baixo,0
Roubo (art. 157),3518107,Guarantã,0.467,0.0766,0.142,Não significativo,0
Roubo (art. 157),3518206,Guararapes,0.419,0.0891,0.072,Não significativo,0
Roubo (art. 157),3518305,Guararema,1.313,0.1169,0.44,Não significativo,0
Roubo (art. 157),3518404,Guaratinguetá,1.279,0.1058,0.452,Não significativo,0
Roubo (art. 157),3518503,Guareí,0,0.1011,0.794,Não significativo,0
Roubo (art. 157),3518602,Guariba,1.227,-0.0577,0.98,Não significativo,0
Roubo (art. 157),3518701,Guarujá,4.947,9.1528,0.03,Alto-Alto,1
Roubo (art. 157),3518800,Guarulhos,4.663,8.5518,0.002,Alto-Alto,0
Roubo (art. 157),3518859,Guatapará,0.41,-0.0052,0.736,Não significativo,0
Roubo (art. 157),3518909,Guzolândia,0,0.273,0.038,Baixo-Baixo,0
Roubo (art. 157),3519006,Herculândia,0.219,0.1466,0.25,Não significativo,0
Roubo (art. 157),3519055,Holambra,0.199,-0.102,0.408,Não significativo,0
Roubo (art. 157),3519071,Hortolândia,2.51,2.0973,0.082,Não significativo,0
Roubo (art. 157),3519105,Iacanga,0.383,0.0793,0.426,Não significativo,0
Roubo (art. 157),3519204,Iacri,0,0.2057,0.182,Não significativo,0
Roubo (art. 157),3519253,Iaras,0.125,0.171,0.28,Não significativo,0
Roubo (art. 157),3519303,Ibaté,0.622,-0.0013,0.612,Não significativo,0
Roubo (art. 157),3519402,Ibirá,0.086,0.2347,0.016,Baixo-Baixo,0
Roubo (art. 157),3519501,Ibirarema,0.157,0.1595,0.268,Não significativo,0
Roubo (art. 157),3519600,Ibitinga,0.233,0.1024,0.456,Não significativo,0
Roubo (art. 157),3519709,Ibiúna,1.283,0.6306,0.008,Alto-Alto,0
Roubo (art. 157),3519808,Icém,0.384,0.1066,0.128,Não significativo,0
Roubo (art. 157),3519907,Iepê,0,0.2646,0.058,Não significativo,0
