cod_ibge,municipio,populacao,renda,n_roubo,n_furto,n_lesao,taxa_roubo_1000,taxa_furto_1000,taxa_lesao_1000
3513702,Descalvado,31756,2434.96,29,295,81,0.913,9.29,2.551
3513801,Diadema,393237,2558.89,2663,4378,1338,6.772,11.133,3.403
3513850,Dirce Reis,1620,1950.62,0,7,9,0,4.321,5.556
3513900,Divinolândia,11158,2467.21,1,27,29,0.09,2.42,2.599
3514007,Dobrada,8759,2201.91,1,35,19,0.114,3.996,2.169
3514106,Dois Córregos,24510,2203.43,0,213,89,0,8.69,3.631
3514205,Dolcinópolis,2207,2134.37,0,7,12,0,3.172,5.437
3514304,Dourado,8096,2618.94,0,41,32,0,5.064,3.953
3514403,Dracena,45474,2924.66,7,472,242,0.154,10.38,5.322
3514502,Duartina,12328,2409.23,2,74,50,0.162,6.003,4.056
3514601,Dumont,9471,2601.42,4,47,18,0.422,4.963,1.901
3514700,Echaporã,6205,2233.55,2,36,25,0.322,5.802,4.029
3514809,Eldorado,13069,1869.24,5,83,68,0.383,6.351,5.203
3514908,Elias Fausto,17699,2240.91,14,93,66,0.791,5.255,3.729
3514924,Elisiário,3138,2245.73,0,9,7,0,2.868,2.231
3514957,Embaúba,2323,2065.96,0,9,10,0,3.874,4.305
3515004,Embu das Artes,250691,2236.68,1885,2089,964,7.519,8.333,3.845
3515103,Embu-Guaçu,66970,2475.07,217,510,280,3.24,7.615,4.181
3515129,Emilianópolis,3014,1910.37,0,6,17,0,1.991,5.64
3515152,Engenheiro Coelho,19566,2521.7,13,94,51,0.664,4.804,2.607
3515186,Espírito Santo do Pinhal,39816,2552.07,19,201,148,0.477,5.048,3.717
3515194,Espírito Santo do Turvo,4157,2002.81,3,16,13,0.722,3.849,3.127
3515202,Estrela d'Oeste,9417,2417.57,1,56,53,0.106,5.947,5.628
3515301,Estrela do Norte,2703,2303.2,0,15,18,0,5.549,6.659
3515350,Euclides da Cunha Paulista,7924,1898.13,0,27,50,0,3.407,6.31
3515400,Fartura,16641,2205.49,4,81,87,0.24,4.867,5.228
3515509,Fernandópolis,71186,2849.16,17,494,356,0.239,6.94,5.001
3515608,Fernando Prestes,5942,2273.03,1,43,23,0.168,7.237,3.871
3515657,Fernão,1656,1884.5,2,8,9,1.208,4.831,5.435
3515707,Ferraz de Vasconcelos,179198,2124.43,1018,1767,634,5.681,9.861,3.538
3515806,Flora Rica,1487,2010.89,0,6,10,0,4.035,6.725
3515905,Floreal,2733,2495.68,0,11,19,0,4.025,6.952
3516002,Flórida Paulista,12958,2046.7,0,16,51,0,1.235,3.936
3516101,Florínea,3851,2153.67,0,19,27,0,4.934,7.011
3516200,Franca,352536,2783.95,249,4414,1173,0.706,12.521,3.327
3516309,Francisco Morato,165139,1953.37,648,1250,713,3.924,7.569,4.318
3516408,Franco da Rocha,144849,2467.37,466,1303,735,3.217,8.996,5.074
3516507,Gabriel Monteiro,2763,2280.38,1,17,7,0.362,6.153,2.533
3516606,Gália,6380,2144.79,3,65,56,0.47,10.188,8.777
3516705,Garça,42110,2613.58,9,270,195,0.214,6.412,4.631
3516804,Gastão Vidigal,3252,2316.38,0,25,21,0,7.688,6.458
3516853,Gavião Peixoto,4702,2521.85,2,19,12,0.425,4.041,2.552
3516903,General Salgado,10312,2601.16,2,55,37,0.194,5.334,3.588
3517000,Getulina,10232,2099.2,3,44,50,0.293,4.3,4.887
3517109,Glicério,4138,2187.22,0,36,14,0,8.7,3.383
3517208,Guaiçara,11239,2174.88,2,103,70,0.178,9.165,6.228
3517307,Guaimbê,5512,1885.42,1,50,45,0.181,9.071,8.164
3517406,Guaíra,39279,2682.04,14,271,204,0.356,6.899,5.194
3517505,Guapiaçu,21711,2518.23,5,128,87,0.23,5.896,4.007
3517604,Guapiara,17071,1898.47,6,78,44,0.351,4.569,2.577
3517703,Guará,18606,2302.1,10,212,75,0.537,11.394,4.031
3517802,Guaraçaí,7441,2271.11,0,33,15,0,4.435,2.016
3517901,Guaraci,10350,2294.09,1,74,82,0.097,7.15,7.923
3518008,Guarani d'Oeste,1968,1896.67,1,17,11,0.508,8.638,5.589
3518107,Guarantã,6427,2009.4,3,47,65,0.467,7.313,10.114
